sub,t1w_path,motion,stratum
sub-01_run-01,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-01_run-01/sub-01_run-01_brain.nii.gz,0.0,ds004332
sub-01_run-02,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-01_run-02/sub-01_run-02_brain.nii.gz,0.0,ds004332
sub-01_run-03,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-01_run-03/sub-01_run-03_brain.nii.gz,0.0,ds004332
sub-02_run-01,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-02_run-01/sub-02_run-01_brain.nii.gz,0.0,ds004332
sub-02_run-02,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-02_run-02/sub-02_run-02_brain.nii.gz,0.0,ds004332
sub-02_run-03,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-02_run-03/sub-02_run-03_brain.nii.gz,0.0,ds004332
sub-03_run-01,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-03_run-01/sub-03_run-01_brain.nii.gz,0.0,ds004332
sub-03_run-02,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-03_run-02/sub-03_run-02_brain.nii.gz,0.0,ds004332
sub-03_run-03,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-03_run-03/sub-03_run-03_brain.nii.gz,0.0,ds004332
sub-04_run-01,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-04_run-01/sub-04_run-01_brain.nii.gz,0.0,ds004332
sub-04_run-02,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-04_run-02/sub-04_run-02_brain.nii.gz,0.0,ds004332
sub-04_run-03,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-04_run-03/sub-04_run-03_brain.nii.gz,0.0,ds004332
sub-05_run-01,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-05_run-01/sub-05_run-01_brain.nii.gz,0.0,ds004332
sub-05_run-02,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-05_run-02/sub-05_run-02_brain.nii.gz,0.0,ds004332
sub-05_run-03,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-05_run-03/sub-05_run-03_brain.nii.gz,0.0,ds004332
sub-06_run-01,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-06_run-01/sub-06_run-01_brain.nii.gz,0.0,ds004332
sub-06_run-02,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-06_run-02/sub-06_run-02_brain.nii.gz,0.0,ds004332
sub-06_run-03,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-06_run-03/sub-06_run-03_brain.nii.gz,0.0,ds004332
sub-07_run-01,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-07_run-01/sub-07_run-01_brain.nii.gz,0.0,ds004332
sub-07_run-02,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-07_run-02/sub-07_run-02_brain.nii.gz,0.0,ds004332
sub-07_run-03,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-07_run-03/sub-07_run-03_brain.nii.gz,0.0,ds004332
sub-08_run-01,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-08_run-01/sub-08_run-01_brain.nii.gz,0.0,ds004332
sub-08_run-02,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-08_run-02/sub-08_run-02_brain.nii.gz,0.0,ds004332
sub-08_run-03,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-08_run-03/sub-08_run-03_brain.nii.gz,0.0,ds004332
sub-09_run-01,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-09_run-01/sub-09_run-01_brain.nii.gz,0.0,ds004332
sub-09_run-02,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-09_run-02/sub-09_run-02_brain.nii.gz,0.0,ds004332
sub-09_run-03,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-09_run-03/sub-09_run-03_brain.nii.gz,0.0,ds004332
sub-10_run-01,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-10_run-01/sub-10_run-01_brain.nii.gz,0.0,ds004332
sub-10_run-02,/home/av62870@ens.ad.etsmtl.ca/Documents/derivatives/ds004332/preproc_natif/sub-10_run-02/sub-10_run-02_brain.nii.gz,0.0,ds004332
