condition,hemi,region,ThickAvg_p1,ThickAvg_p2,diff,pct
run-01,lh,bankssts,2.679,2.99,0.311,11.61
run-01,lh,caudalanteriorcingulate,2.487,2.888,0.401,16.12
run-01,lh,caudalmiddlefrontal,2.859,2.911,0.052,1.82
run-01,lh,cuneus,1.945,2.095,0.15,7.71
run-01,lh,entorhinal,3.361,3.723,0.362,10.77
run-01,lh,frontalpole,2.607,2.62,0.013,0.5
run-01,lh,fusiform,2.837,2.977,0.14,4.93
run-01,lh,inferiorparietal,2.669,2.774,0.105,3.93
run-01,lh,inferiortemporal,3.083,3.256,0.173,5.61
run-01,lh,insula,3.191,3.532,0.341,10.69
run-01,lh,isthmuscingulate,2.384,2.637,0.253,10.61
run-01,lh,lateraloccipital,2.325,2.458,0.133,5.72
run-01,lh,lateralorbitofrontal,2.863,3.008,0.145,5.06
run-01,lh,lingual,2.151,2.376,0.225,10.46
run-01,lh,medialorbitofrontal,2.524,2.649,0.125,4.95
run-01,lh,middletemporal,3.07,3.241,0.171,5.57
run-01,lh,paracentral,2.764,2.942,0.178,6.44
run-01,lh,parahippocampal,2.966,3.268,0.302,10.18
run-01,lh,parsopercularis,2.842,2.892,0.05,1.76
run-01,lh,parsorbitalis,2.962,2.891,-0.071,-2.4
run-01,lh,parstriangularis,2.715,2.732,0.017,0.63
run-01,lh,pericalcarine,1.778,1.889,0.111,6.24
run-01,lh,postcentral,2.385,2.429,0.044,1.84
run-01,lh,posteriorcingulate,2.497,2.791,0.294,11.77
run-01,lh,precentral,2.856,2.925,0.069,2.42
run-01,lh,precuneus,2.57,2.755,0.185,7.2
run-01,lh,rostralanteriorcingulate,2.928,3.37,0.442,15.1
run-01,lh,rostralmiddlefrontal,2.509,2.358,-0.151,-6.02
run-01,lh,superiorfrontal,3.047,3.035,-0.012,-0.39
run-01,lh,superiorparietal,2.464,2.515,0.051,2.07
run-01,lh,superiortemporal,3.07,3.362,0.292,9.51
run-01,lh,supramarginal,2.773,2.844,0.071,2.56
run-01,lh,temporalpole,4.157,3.954,-0.203,-4.88
run-01,lh,transversetemporal,2.696,3.216,0.52,19.29
run-01,rh,bankssts,2.995,3.325,0.33,11.02
run-01,rh,caudalanteriorcingulate,2.633,2.833,0.2,7.6
run-01,rh,caudalmiddlefrontal,2.675,2.543,-0.132,-4.93
run-01,rh,cuneus,1.989,2.098,0.109,5.48
run-01,rh,entorhinal,3.419,3.85,0.431,12.61
run-01,rh,frontalpole,2.588,2.474,-0.114,-4.4
run-01,rh,fusiform,3.004,3.204,0.2,6.66
run-01,rh,inferiorparietal,2.752,2.84,0.088,3.2
run-01,rh,inferiortemporal,3.036,3.259,0.223,7.35
run-01,rh,insula,3.196,3.362,0.166,5.19
run-01,rh,isthmuscingulate,2.606,2.736,0.13,4.99
run-01,rh,lateraloccipital,2.478,2.669,0.191,7.71
run-01,rh,lateralorbitofrontal,2.9,2.902,0.002,0.07
run-01,rh,lingual,2.198,2.443,0.245,11.15
run-01,rh,medialorbitofrontal,2.56,2.604,0.044,1.72
run-01,rh,middletemporal,3.171,3.413,0.242,7.63
run-01,rh,paracentral,2.761,2.853,0.092,3.33
run-01,rh,parahippocampal,2.961,3.256,0.295,9.96
run-01,rh,parsopercularis,2.935,3.119,0.184,6.27
run-01,rh,parsorbitalis,2.958,2.945,-0.013,-0.44
run-01,rh,parstriangularis,2.586,2.668,0.082,3.17
run-01,rh,pericalcarine,1.719,1.836,0.117,6.81
run-01,rh,postcentral,2.241,2.21,-0.031,-1.38
run-01,rh,posteriorcingulate,2.36,2.684,0.324,13.73
run-01,rh,precentral,2.812,2.874,0.062,2.2
run-01,rh,precuneus,2.625,2.824,0.199,7.58
run-01,rh,rostralanteriorcingulate,2.742,2.774,0.032,1.17
run-01,rh,rostralmiddlefrontal,2.325,2.23,-0.095,-4.09
run-01,rh,superiorfrontal,2.902,2.851,-0.051,-1.76
run-01,rh,superiorparietal,2.458,2.515,0.057,2.32
run-01,rh,superiortemporal,3.119,3.263,0.144,4.62
run-01,rh,supramarginal,2.751,2.854,0.103,3.74
run-01,rh,temporalpole,4.07,4.275,0.205,5.04
run-01,rh,transversetemporal,2.765,3.022,0.257,9.29
run-02,lh,bankssts,2.507,2.748,0.241,9.61
run-02,lh,caudalanteriorcingulate,2.261,2.523,0.262,11.59
run-02,lh,caudalmiddlefrontal,2.665,2.809,0.144,5.4
run-02,lh,cuneus,1.985,1.989,0.004,0.2
run-02,lh,entorhinal,2.209,2.513,0.304,13.76
run-02,lh,frontalpole,3.227,3.198,-0.029,-0.9
run-02,lh,fusiform,2.603,2.762,0.159,6.11
run-02,lh,inferiorparietal,2.539,2.682,0.143,5.63
run-02,lh,inferiortemporal,2.862,3.031,0.169,5.9
run-02,lh,insula,2.667,2.841,0.174,6.52
run-02,lh,isthmuscingulate,2.338,2.456,0.118,5.05
run-02,lh,lateraloccipital,2.29,2.411,0.121,5.28
run-02,lh,lateralorbitofrontal,2.289,2.507,0.218,9.52
run-02,lh,lingual,2.11,2.218,0.108,5.12
run-02,lh,medialorbitofrontal,2.603,2.73,0.127,4.88
run-02,lh,middletemporal,2.73,2.95,0.22,8.06
run-02,lh,paracentral,2.614,2.782,0.168,6.43
run-02,lh,parahippocampal,2.718,2.909,0.191,7.03
run-02,lh,parsopercularis,2.644,2.827,0.183,6.92
run-02,lh,parsorbitalis,2.212,2.491,0.279,12.61
run-02,lh,parstriangularis,2.543,2.783,0.24,9.44
run-02,lh,pericalcarine,1.798,1.822,0.024,1.33
run-02,lh,postcentral,2.304,2.341,0.037,1.61
run-02,lh,posteriorcingulate,2.443,2.729,0.286,11.71
run-02,lh,precentral,2.605,2.723,0.118,4.53
run-02,lh,precuneus,2.509,2.733,0.224,8.93
run-02,lh,rostralanteriorcingulate,2.798,3.102,0.304,10.86
run-02,lh,rostralmiddlefrontal,2.669,2.754,0.085,3.18
run-02,lh,superiorfrontal,2.856,2.977,0.121,4.24
run-02,lh,superiorparietal,2.391,2.456,0.065,2.72
run-02,lh,superiortemporal,2.758,2.949,0.191,6.93
run-02,lh,supramarginal,2.633,2.813,0.18,6.84
run-02,lh,temporalpole,2.39,2.501,0.111,4.64
run-02,lh,transversetemporal,2.83,2.838,0.008,0.28
run-02,rh,bankssts,2.764,3.003,0.239,8.65
run-02,rh,caudalanteriorcingulate,2.539,2.721,0.182,7.17
run-02,rh,caudalmiddlefrontal,2.538,2.448,-0.09,-3.55
run-02,rh,cuneus,2.027,2.215,0.188,9.27
run-02,rh,entorhinal,2.555,2.62,0.065,2.54
run-02,rh,frontalpole,2.715,2.632,-0.083,-3.06
run-02,rh,fusiform,2.743,2.881,0.138,5.03
run-02,rh,inferiorparietal,2.684,2.843,0.159,5.92
run-02,rh,inferiortemporal,2.793,3.028,0.235,8.41
run-02,rh,insula,2.675,2.803,0.128,4.79
run-02,rh,isthmuscingulate,2.468,2.534,0.066,2.67
run-02,rh,lateraloccipital,2.511,2.641,0.13,5.18
run-02,rh,lateralorbitofrontal,2.44,2.574,0.134,5.49
run-02,rh,lingual,2.174,2.284,0.11,5.06
run-02,rh,medialorbitofrontal,2.879,2.881,0.002,0.07
run-02,rh,middletemporal,3.001,3.209,0.208,6.93
run-02,rh,paracentral,2.612,2.797,0.185,7.08
run-02,rh,parahippocampal,2.778,2.913,0.135,4.86
run-02,rh,parsopercularis,2.84,3.03,0.19,6.69
run-02,rh,parsorbitalis,2.836,2.93,0.094,3.31
run-02,rh,parstriangularis,2.601,2.813,0.212,8.15
run-02,rh,pericalcarine,1.705,1.804,0.099,5.81
run-02,rh,postcentral,2.126,2.128,0.002,0.09
run-02,rh,posteriorcingulate,2.351,2.631,0.28,11.91
run-02,rh,precentral,2.669,2.731,0.062,2.32
run-02,rh,precuneus,2.558,2.691,0.133,5.2
run-02,rh,rostralanteriorcingulate,2.518,2.635,0.117,4.65
run-02,rh,rostralmiddlefrontal,2.537,2.508,-0.029,-1.14
run-02,rh,superiorfrontal,2.808,2.907,0.099,3.53
run-02,rh,superiorparietal,2.449,2.532,0.083,3.39
run-02,rh,superiortemporal,2.887,2.988,0.101,3.5
run-02,rh,supramarginal,2.609,2.779,0.17,6.52
run-02,rh,temporalpole,2.332,2.524,0.192,8.23
run-02,rh,transversetemporal,2.59,2.722,0.132,5.1
run-03,lh,bankssts,0.0,2.467,2.467,
run-03,lh,caudalanteriorcingulate,0.0,2.215,2.215,
run-03,lh,caudalmiddlefrontal,0.0,2.786,2.786,
run-03,lh,cuneus,0.0,2.23,2.23,
run-03,lh,entorhinal,0.0,2.136,2.136,
run-03,lh,frontalpole,0.0,2.747,2.747,
run-03,lh,fusiform,0.0,2.581,2.581,
run-03,lh,inferiorparietal,0.0,2.65,2.65,
run-03,lh,inferiortemporal,0.0,2.611,2.611,
run-03,lh,insula,0.0,2.747,2.747,
run-03,lh,isthmuscingulate,0.0,2.267,2.267,
run-03,lh,lateraloccipital,0.0,2.663,2.663,
run-03,lh,lateralorbitofrontal,0.0,2.477,2.477,
run-03,lh,lingual,0.0,2.404,2.404,
run-03,lh,medialorbitofrontal,0.0,2.259,2.259,
run-03,lh,middletemporal,0.0,2.835,2.835,
run-03,lh,paracentral,0.0,2.52,2.52,
run-03,lh,parahippocampal,0.0,2.677,2.677,
run-03,lh,parsopercularis,0.0,2.716,2.716,
run-03,lh,parsorbitalis,0.0,2.57,2.57,
run-03,lh,parstriangularis,0.0,2.567,2.567,
run-03,lh,pericalcarine,0.0,2.039,2.039,
run-03,lh,postcentral,0.0,2.288,2.288,
run-03,lh,posteriorcingulate,0.0,2.385,2.385,
run-03,lh,precentral,0.0,2.602,2.602,
run-03,lh,precuneus,0.0,2.509,2.509,
run-03,lh,rostralanteriorcingulate,0.0,2.539,2.539,
run-03,lh,rostralmiddlefrontal,0.0,2.492,2.492,
run-03,lh,superiorfrontal,0.0,2.72,2.72,
run-03,lh,superiorparietal,0.0,2.697,2.697,
run-03,lh,superiortemporal,0.0,2.671,2.671,
run-03,lh,supramarginal,0.0,2.683,2.683,
run-03,lh,temporalpole,0.0,3.09,3.09,
run-03,lh,transversetemporal,0.0,2.726,2.726,
run-03,rh,bankssts,0.0,2.305,2.305,
run-03,rh,caudalanteriorcingulate,0.0,2.835,2.835,
run-03,rh,caudalmiddlefrontal,0.0,2.597,2.597,
run-03,rh,cuneus,0.0,2.041,2.041,
run-03,rh,entorhinal,0.0,1.633,1.633,
run-03,rh,frontalpole,0.0,3.203,3.203,
run-03,rh,fusiform,0.0,2.524,2.524,
run-03,rh,inferiorparietal,0.0,2.582,2.582,
run-03,rh,inferiortemporal,0.0,2.873,2.873,
run-03,rh,insula,0.0,2.433,2.433,
run-03,rh,lateraloccipital,0.0,2.757,2.757,
run-03,rh,lateralorbitofrontal,0.0,2.638,2.638,
run-03,rh,lingual,0.0,2.353,2.353,
run-03,rh,medialorbitofrontal,0.0,2.648,2.648,
run-03,rh,middletemporal,0.0,2.798,2.798,
run-03,rh,paracentral,0.0,2.724,2.724,
run-03,rh,parahippocampal,0.0,2.171,2.171,
run-03,rh,parsopercularis,0.0,2.819,2.819,
run-03,rh,parsorbitalis,0.0,2.416,2.416,
run-03,rh,parstriangularis,0.0,2.51,2.51,
run-03,rh,postcentral,0.0,2.017,2.017,
run-03,rh,posteriorcingulate,0.0,2.37,2.37,
run-03,rh,precentral,0.0,2.528,2.528,
run-03,rh,precuneus,0.0,2.507,2.507,
run-03,rh,rostralanteriorcingulate,0.0,2.459,2.459,
run-03,rh,rostralmiddlefrontal,0.0,2.447,2.447,
run-03,rh,superiorfrontal,0.0,2.8,2.8,
run-03,rh,superiorparietal,0.0,2.521,2.521,
run-03,rh,superiortemporal,0.0,2.644,2.644,
run-03,rh,supramarginal,0.0,2.443,2.443,
run-03,rh,temporalpole,0.0,1.801,1.801,
run-03,rh,transversetemporal,0.0,2.61,2.61,
