condition,sub_id,motion
run-01,sub-01,2.5549815
run-02,sub-01,2.6822388
run-02_jdac,sub-01,2.697748
run-03,sub-01,2.6928127
run-03_jdac,sub-01,2.8674984
run-01,sub-02,2.6130264
run-02,sub-02,3.2632
run-02_jdac,sub-02,3.1819606
run-03,sub-02,2.9703534
run-03_jdac,sub-02,2.97882
run-01,sub-03,2.5842605
run-02,sub-03,3.1591275
run-02_jdac,sub-03,3.2160325
run-03,sub-03,2.4680474
run-03_jdac,sub-03,2.5247505
run-01,sub-04,2.6238623
run-02,sub-04,3.0028932
run-02_jdac,sub-04,3.0443523
run-03,sub-04,3.063975
run-03_jdac,sub-04,3.134813
run-01,sub-05,2.8603354
run-02,sub-05,3.2206502
run-02_jdac,sub-05,3.1881247
run-03,sub-05,3.0595942
run-03_jdac,sub-05,3.048921
run-01,sub-06,3.2003882
run-02,sub-06,3.2362165
run-02_jdac,sub-06,3.1679137
run-03,sub-06,3.218827
run-03_jdac,sub-06,3.1967056
run-01,sub-07,2.7376385
run-02,sub-07,2.87091
run-02_jdac,sub-07,2.8948898
run-03,sub-07,2.8034983
run-03_jdac,sub-07,2.7287614
run-01,sub-08,2.1903663
run-02,sub-08,2.7299435
run-02_jdac,sub-08,2.6870537
run-03,sub-08,2.7358916
run-03_jdac,sub-08,2.803761
run-01,sub-09,3.349514
run-02,sub-09,3.442089
run-02_jdac,sub-09,3.447654
run-03,sub-09,3.3571024
run-03_jdac,sub-09,3.3430552
run-01,sub-10,2.9135175
run-02,sub-10,3.267444
run-02_jdac,sub-10,3.1674209
run-03,sub-10,3.2983086
run-03_jdac,sub-10,3.2480893
run-01,sub-11,2.987686
run-02,sub-11,3.0418787
run-02_jdac,sub-11,3.0279205
run-03,sub-11,3.0859585
run-03_jdac,sub-11,3.1266987
run-01,sub-12,2.9569283
run-02,sub-12,3.0567496
run-02_jdac,sub-12,3.0069342
run-03,sub-12,2.9100723
run-03_jdac,sub-12,2.9102216
run-01,sub-13,2.7107882
run-02,sub-13,2.6635492
run-02_jdac,sub-13,2.5931077
run-03,sub-13,2.6666374
run-03_jdac,sub-13,2.6294062
run-01,sub-14,2.5033967
run-02,sub-14,2.602091
run-02_jdac,sub-14,2.5286365
run-03,sub-14,2.5882306
run-03_jdac,sub-14,2.53354
run-01,sub-15,2.7902198
run-02,sub-15,3.1223054
run-02_jdac,sub-15,3.0232413
run-03,sub-15,3.0309575
run-03_jdac,sub-15,2.9657142
run-01,sub-16,2.6158164
run-02,sub-16,3.040971
run-02_jdac,sub-16,2.989493
run-03,sub-16,3.0151644
run-03_jdac,sub-16,2.9779177
run-01,sub-17,3.1094863
run-02,sub-17,3.2405741
run-02_jdac,sub-17,3.212249
run-03,sub-17,3.2301035
run-03_jdac,sub-17,3.1516554
run-01,sub-18,3.1473475
run-02,sub-18,3.1542192
run-02_jdac,sub-18,3.0433164
run-03,sub-18,3.127825
run-03_jdac,sub-18,3.051547
run-01,sub-19,2.820766
run-02,sub-19,3.082343
run-02_jdac,sub-19,2.9356978
run-03,sub-19,2.996693
run-03_jdac,sub-19,2.9304929
run-01,sub-20,2.7737725
run-02,sub-20,2.882655
run-02_jdac,sub-20,2.6988778
run-03,sub-20,3.073766
run-03_jdac,sub-20,2.9812367
run-01,sub-21,2.9262967
run-02,sub-21,3.092851
run-02_jdac,sub-21,3.0848873
run-03,sub-21,3.0206456
run-03_jdac,sub-21,3.0201616
run-01,sub-22,3.1889272
run-02,sub-22,3.3524754
run-02_jdac,sub-22,3.3527637
run-03,sub-22,3.2166674
run-03_jdac,sub-22,3.1845381
