condition,sub,motion
jdac_run-02,sub-01,2.6977367
jdac_run-03,sub-01,2.8674903
raw_run-01,sub-01,0.49990654
raw_run-02,sub-01,0.6271422
raw_run-03,sub-01,0.764343
jdac_run-02,sub-02,3.181935
jdac_run-03,sub-02,2.9788241
raw_run-01,sub-02,0.35406122
raw_run-02,sub-02,1.1129731
raw_run-03,sub-02,0.7563268
jdac_run-02,sub-03,3.2160277
jdac_run-03,sub-03,2.5247788
raw_run-01,sub-03,0.79853374
raw_run-02,sub-03,2.0002892
raw_run-03,sub-03,1.1157017
jdac_run-02,sub-04,3.044346
jdac_run-03,sub-04,3.134817
raw_run-01,sub-04,0.64584774
raw_run-02,sub-04,1.7984117
raw_run-03,sub-04,1.2279809
jdac_run-02,sub-05,3.1880808
jdac_run-03,sub-05,3.048923
raw_run-01,sub-05,0.53316885
raw_run-02,sub-05,1.4703995
raw_run-03,sub-05,1.7925112
jdac_run-02,sub-06,3.1679332
jdac_run-03,sub-06,3.1967032
raw_run-01,sub-06,0.51049834
raw_run-02,sub-06,0.7646647
raw_run-03,sub-06,0.7628723
jdac_run-02,sub-07,2.8949194
jdac_run-03,sub-07,2.7287621
raw_run-01,sub-07,0.4657505
raw_run-02,sub-07,0.68645185
raw_run-03,sub-07,0.5072275
jdac_run-02,sub-08,2.6870627
jdac_run-03,sub-08,2.8037798
raw_run-01,sub-08,0.14471243
raw_run-02,sub-08,0.8321824
raw_run-03,sub-08,3.1883278
jdac_run-02,sub-09,3.447648
jdac_run-03,sub-09,3.343041
raw_run-01,sub-09,0.45240885
raw_run-02,sub-09,1.1439893
raw_run-03,sub-09,0.37934357
jdac_run-02,sub-10,3.1674376
jdac_run-03,sub-10,3.2480996
raw_run-01,sub-10,0.27381235
raw_run-02,sub-10,0.35810262
raw_run-03,sub-10,0.69119346
jdac_run-02,sub-11,3.027923
jdac_run-03,sub-11,3.126692
raw_run-01,sub-11,0.32134512
raw_run-02,sub-11,0.35373232
raw_run-03,sub-11,0.59836197
jdac_run-02,sub-12,3.006938
jdac_run-03,sub-12,2.9101923
raw_run-01,sub-12,0.5759699
raw_run-02,sub-12,1.7553718
raw_run-03,sub-12,1.5114462
jdac_run-02,sub-13,2.5932236
jdac_run-03,sub-13,2.6294076
raw_run-01,sub-13,1.0083117
raw_run-02,sub-13,1.4379449
raw_run-03,sub-13,2.0565166
jdac_run-02,sub-14,2.528614
jdac_run-03,sub-14,2.533554
raw_run-01,sub-14,0.21301448
raw_run-02,sub-14,0.36265323
raw_run-03,sub-14,0.52663547
jdac_run-02,sub-15,3.0232596
jdac_run-03,sub-15,2.9657073
raw_run-01,sub-15,0.421847
raw_run-02,sub-15,0.7363876
raw_run-03,sub-15,0.70986134
jdac_run-02,sub-16,2.9895053
jdac_run-03,sub-16,2.9779606
raw_run-01,sub-16,0.3808685
raw_run-02,sub-16,0.743275
raw_run-03,sub-16,1.5954963
jdac_run-02,sub-17,3.2122273
jdac_run-03,sub-17,3.151641
raw_run-01,sub-17,0.40500188
raw_run-02,sub-17,0.82166415
raw_run-03,sub-17,0.5349279
jdac_run-02,sub-18,3.0432942
jdac_run-03,sub-18,3.051579
raw_run-01,sub-18,0.4337596
raw_run-02,sub-18,0.76374215
raw_run-03,sub-18,1.0056654
jdac_run-02,sub-19,2.935728
jdac_run-03,sub-19,2.9304757
raw_run-01,sub-19,0.71936035
raw_run-02,sub-19,1.2135142
raw_run-03,sub-19,1.0244585
jdac_run-02,sub-20,2.6988657
jdac_run-03,sub-20,2.981241
raw_run-01,sub-20,0.5570296
raw_run-02,sub-20,0.6043514
raw_run-03,sub-20,0.47265378
jdac_run-02,sub-21,3.084857
jdac_run-03,sub-21,3.0201435
raw_run-01,sub-21,0.38624072
raw_run-02,sub-21,0.6347154
raw_run-03,sub-21,0.4624251
jdac_run-02,sub-22,3.352766
jdac_run-03,sub-22,3.1845553
raw_run-01,sub-22,0.56633776
raw_run-02,sub-22,1.0456377
raw_run-03,sub-22,0.9444634
