iqm,decision_brainonly,raison,n_finite,n_total,n_unique_finite
cjv,candidate_tissulaire,calculable à support fixe ; association à la morphométrie à tester,12,12,12
cnr,candidate_conditionnelle,calculée malgré un bruit de l'air nul ; ne pas comparer au full-head,12,12,12
efc,diagnostic_support,"sensible au support, à la grille et au zero-padding",12,12,12
fber,invalide_brainonly,dépend du fond ou de l'air supprimé par le skull-stripping,4,12,2
fwhm_avg,diagnostic_lissage,décrit le lissage ; ne prouve pas la fidélité anatomique,12,12,12
fwhm_x,diagnostic_lissage,décrit le lissage ; ne prouve pas la fidélité anatomique,12,12,12
fwhm_y,diagnostic_lissage,décrit le lissage ; ne prouve pas la fidélité anatomique,12,12,12
fwhm_z,diagnostic_lissage,décrit le lissage ; ne prouve pas la fidélité anatomique,12,12,12
icvs_csf,secondaire_segmentation,dépend de la segmentation MRIQC ; ne remplace pas FreeSurfer,12,12,12
icvs_gm,secondaire_segmentation,dépend de la segmentation MRIQC ; ne remplace pas FreeSurfer,12,12,12
icvs_wm,secondaire_segmentation,dépend de la segmentation MRIQC ; ne remplace pas FreeSurfer,12,12,12
inu_med,secondaire_intensite,"diagnostic de tissus ou de preprocessing, pas mesure directe du mouvement",12,12,12
inu_range,secondaire_intensite,"diagnostic de tissus ou de preprocessing, pas mesure directe du mouvement",12,12,12
qi_1,invalide_brainonly,dépend du fond ou de l'air supprimé par le skull-stripping,12,12,1
qi_2,invalide_brainonly,dépend du fond ou de l'air supprimé par le skull-stripping,12,12,1
rpve_csf,secondaire_segmentation,dépend de la segmentation MRIQC ; ne remplace pas FreeSurfer,12,12,12
rpve_gm,secondaire_segmentation,dépend de la segmentation MRIQC ; ne remplace pas FreeSurfer,12,12,12
rpve_wm,secondaire_segmentation,dépend de la segmentation MRIQC ; ne remplace pas FreeSurfer,12,12,12
size_x,controle_geometrie,décrit la grille commune et non la qualité ou le mouvement,12,12,1
size_y,controle_geometrie,décrit la grille commune et non la qualité ou le mouvement,12,12,1
size_z,controle_geometrie,décrit la grille commune et non la qualité ou le mouvement,12,12,1
snr_csf,candidate_tissulaire,calculable à support fixe ; association à la morphométrie à tester,12,12,12
snr_gm,candidate_tissulaire,calculable à support fixe ; association à la morphométrie à tester,12,12,12
snr_total,candidate_tissulaire,calculable à support fixe ; association à la morphométrie à tester,12,12,12
snr_wm,candidate_tissulaire,calculable à support fixe ; association à la morphométrie à tester,12,12,12
snrd_csf,invalide_brainonly,dépend du fond ou de l'air supprimé par le skull-stripping,12,12,1
snrd_gm,invalide_brainonly,dépend du fond ou de l'air supprimé par le skull-stripping,12,12,1
snrd_total,invalide_brainonly,dépend du fond ou de l'air supprimé par le skull-stripping,12,12,1
snrd_wm,invalide_brainonly,dépend du fond ou de l'air supprimé par le skull-stripping,12,12,1
spacing_x,controle_geometrie,décrit la grille commune et non la qualité ou le mouvement,12,12,1
spacing_y,controle_geometrie,décrit la grille commune et non la qualité ou le mouvement,12,12,1
spacing_z,controle_geometrie,décrit la grille commune et non la qualité ou le mouvement,12,12,1
summary_bg_k,invalide_brainonly,dépend du fond ou de l'air supprimé par le skull-stripping,12,12,1
summary_bg_mad,invalide_brainonly,dépend du fond ou de l'air supprimé par le skull-stripping,12,12,1
summary_bg_mean,invalide_brainonly,dépend du fond ou de l'air supprimé par le skull-stripping,12,12,1
