hemi,region,beta,se,p_value,model,n_obs,n_subjects,p_fdr
lh,entorhinal,-0.31531126705077417,0.04610688333237042,7.991353822195268e-12,mixedlm,65,22,5.35420706087083e-10
lh,superiortemporal,-0.21737690381464567,0.034348384609140616,2.474087138668441e-10,mixedlm,65,22,8.288191914539277e-09
rh,bankssts,-0.2116559567085142,0.03417043972212546,5.860989968960273e-10,mixedlm,65,22,1.3089544264011276e-08
rh,pericalcarine,0.1196782185780046,0.02165666885013503,3.273155266645912e-08,mixedlm,65,22,4.1812062834297845e-07
rh,lingual,0.07008634385030671,0.012719960630329872,3.589361588079935e-08,mixedlm,65,22,4.1812062834297845e-07
lh,pericalcarine,0.11641860427766806,0.021234941336865532,4.195760995360864e-08,mixedlm,65,22,4.1812062834297845e-07
rh,middletemporal,-0.20165482041699548,0.03689100244633709,4.5969961840483865e-08,mixedlm,65,22,4.1812062834297845e-07
lh,insula,-0.19989414538391198,0.036667209031666925,4.9924851145430264e-08,mixedlm,65,22,4.1812062834297845e-07
rh,parahippocampal,-0.15118809201971845,0.0279373603699243,6.243572020462522e-08,mixedlm,65,22,4.244143831312761e-07
lh,parahippocampal,-0.22619977234516694,0.04181844442052403,6.334543031810091e-08,mixedlm,65,22,4.244143831312761e-07
rh,inferiortemporal,-0.1402881162645572,0.026083289409522245,7.512266928585006e-08,mixedlm,65,22,4.5756534928654124e-07
lh,middletemporal,-0.19115138776988358,0.03583966057292942,9.632929802086664e-08,mixedlm,65,22,5.378385806165055e-07
lh,lingual,0.07672074869012066,0.014758814393312291,2.0111907716097266e-07,mixedlm,65,22,1.0365367822911667e-06
lh,parsopercularis,-0.09850993840256433,0.019307575607893604,3.358355786853458e-07,mixedlm,65,22,1.4268842735604286e-06
rh,supramarginal,-0.1149346685741022,0.022538155156984773,3.404444161294272e-07,mixedlm,65,22,1.4268842735604286e-06
lh,bankssts,-0.13095897436267284,0.025681298204219754,3.407484832383113e-07,mixedlm,65,22,1.4268842735604286e-06
rh,superiortemporal,-0.15933315105792695,0.03371774668186933,2.2955187464420596e-06,mixedlm,65,22,9.047044471271646e-06
rh,temporalpole,-0.28947348913397436,0.06404732075864968,6.193274039430741e-06,mixedlm,65,22,2.305274225788109e-05
lh,precentral,-0.10632785211553697,0.023847431920125457,8.24694067597799e-06,mixedlm,65,22,2.9081317120553963e-05
lh,transversetemporal,-0.0895863754969392,0.020269332881854264,9.879278431627734e-06,mixedlm,65,22,3.3003301640119216e-05
lh,supramarginal,-0.08710462875348449,0.019752297145254647,1.034431842451498e-05,mixedlm,65,22,3.3003301640119216e-05
lh,inferiortemporal,-0.11289435610891868,0.025819222889773844,1.2283608908994018e-05,mixedlm,65,22,3.740917258648178e-05
rh,insula,-0.13692889504634892,0.034163028990591496,6.120875920232167e-05,mixedlm,65,22,0.00017830377680676314
rh,cuneus,0.0697459800456192,0.017740508395990503,8.44339036961747e-05,mixedlm,65,22,0.0002357113144851544
lh,rostralanteriorcingulate,-0.17368584925630756,0.046666464213415075,0.00019776397656507476,mixedlm,65,22,0.0005300074571944004
