arm,hemi,region,beta_agitation,se,p_value,model,n_obs,p_fdr
preproc,lh,bankssts,-0.08364254718348613,0.02276741064642564,0.00023898485131145005,mixedlm,65,
preproc,lh,caudalanteriorcingulate,-0.07266891660259117,0.03424441977929897,0.033832201707162,mixedlm,65,
preproc,lh,caudalmiddlefrontal,0.005466572997357003,0.019598336755862228,0.7802981956519087,mixedlm,65,
preproc,lh,cuneus,0.054070245818521843,0.013868325571663594,9.665854548912514e-05,mixedlm,65,
preproc,lh,entorhinal,-0.24820445745929798,,,mixedlm,65,
preproc,lh,frontalpole,0.08741309753832406,0.0669210047530234,0.1914800764590573,mixedlm,65,
preproc,lh,fusiform,-0.05904399898052212,0.01994306990261245,0.003070131254403773,mixedlm,65,
preproc,lh,inferiorparietal,0.015465236109610923,0.01922688161249832,0.42119204959433665,mixedlm,65,
preproc,lh,inferiortemporal,-0.07831952514276921,0.018502787357986626,2.3074832053674247e-05,mixedlm,65,
preproc,lh,insula,-0.16569797116448123,0.03146779556732001,1.3970451272527797e-07,mixedlm,65,
preproc,lh,isthmuscingulate,-0.01262698319338991,0.01594396784835785,0.42838405790067635,mixedlm,65,
preproc,lh,lateraloccipital,0.040910954401340405,0.017383065743957912,0.018597869245017582,mixedlm,65,
preproc,lh,lateralorbitofrontal,-0.01164404697646616,0.027720159990435995,0.6744438213296295,mixedlm,65,
preproc,lh,lingual,0.0926181549375305,0.015308940453578947,1.4490074582231654e-09,mixedlm,65,
preproc,lh,medialorbitofrontal,-0.019892493168416306,0.025874738557417887,0.44201218277450194,mixedlm,65,
preproc,lh,middletemporal,-0.13427415011248953,0.032087530807133495,2.856424683851101e-05,mixedlm,65,
preproc,lh,paracentral,-0.023755666103111164,0.014814305376188771,0.10881049932454542,mixedlm,65,
preproc,lh,parahippocampal,-0.16756353237969243,0.04072607119109332,3.881801485941129e-05,mixedlm,65,
preproc,lh,parsopercularis,-0.050767646711448705,0.018434250801564158,0.005887450040181382,mixedlm,65,
preproc,lh,parsorbitalis,-0.030066605196386886,0.03559065003559053,0.39822841343883675,mixedlm,65,
preproc,lh,parstriangularis,0.06630541900330798,0.025847932113064152,0.010311285848664661,mixedlm,65,
preproc,lh,pericalcarine,0.11250286348704291,0.026378677212604337,1.99976710469365e-05,mixedlm,65,
preproc,lh,postcentral,0.04198395855119076,0.01683151122729337,0.012618216525931291,mixedlm,65,
preproc,lh,posteriorcingulate,0.0022315804411755435,0.015032568016767969,0.8819878675955085,mixedlm,65,
preproc,lh,precentral,-0.05705188699589995,0.019576070752981557,0.0035640874956818537,mixedlm,65,
preproc,lh,precuneus,-0.02469941761440171,0.012201729198743764,0.042943868272325256,mixedlm,65,
preproc,lh,rostralanteriorcingulate,-0.11347424468155719,0.03872058279274122,0.003383163905848141,mixedlm,65,
preproc,lh,rostralmiddlefrontal,0.07412043852784797,0.03515079487404744,0.03497550421727069,mixedlm,65,
preproc,lh,superiorfrontal,-0.04061478941314425,0.028876475643204204,0.15957543310053468,mixedlm,65,
preproc,lh,superiorparietal,0.04165630785507289,0.01746188058527991,0.01705328903446383,mixedlm,65,
preproc,lh,superiortemporal,-0.15334173077799304,0.028464381787960673,7.158597825886559e-08,mixedlm,65,
preproc,lh,supramarginal,-0.02671803755606455,0.01602380918141556,0.09543566116949816,mixedlm,65,
preproc,lh,temporalpole,-0.3333453758779431,0.1114139701373732,0.0027719882451172338,mixedlm,65,
preproc,lh,transversetemporal,-0.05756064605690293,0.021218388847276882,0.006672304567649648,mixedlm,65,
preproc,rh,bankssts,-0.15405491598683524,0.03661281306131664,2.5800853040922144e-05,mixedlm,65,
preproc,rh,caudalanteriorcingulate,-0.005857736582050969,0.03805926503910947,0.8776799720184405,mixedlm,65,
preproc,rh,caudalmiddlefrontal,0.010979445333706674,0.017215017727667533,0.5236149593157424,mixedlm,65,
preproc,rh,cuneus,0.07743362592186506,0.019670665341803138,8.267771339909173e-05,mixedlm,65,
preproc,rh,entorhinal,-0.35475192528015276,0.10406866841585899,0.0006524321119743486,mixedlm,65,
preproc,rh,frontalpole,0.009264190307206582,0.06773795422214048,0.8912164445809518,mixedlm,65,
preproc,rh,fusiform,-0.08539697514098536,0.025657865600556756,0.0008737892779299997,mixedlm,65,
preproc,rh,inferiorparietal,-0.033078435375783526,0.019409311012463525,0.08833326522478281,mixedlm,65,
preproc,rh,inferiortemporal,-0.11261241167247622,0.023354164713284654,1.4216777706112108e-06,mixedlm,65,
preproc,rh,insula,-0.13379218907491114,,,mixedlm,65,
preproc,rh,isthmuscingulate,-0.003225671038081787,0.017519646790382055,0.8539213914286289,mixedlm,65,
preproc,rh,lateraloccipital,0.007336406993691692,0.01636960715983248,0.6540287418664328,mixedlm,65,
preproc,rh,lateralorbitofrontal,-0.02611411915852008,0.027389943376311888,0.34037732411033716,mixedlm,65,
preproc,rh,lingual,0.09292401936459065,0.016620028124725846,2.2565277374195588e-08,mixedlm,65,
preproc,rh,medialorbitofrontal,-0.00876586332059921,0.031240611965493145,0.779023413404498,mixedlm,65,
preproc,rh,middletemporal,-0.1527483100794148,0.03479725907207814,1.1352541481215093e-05,mixedlm,65,
preproc,rh,paracentral,-0.01948778719432252,0.015279972470957399,0.20217440590920444,mixedlm,65,
preproc,rh,parahippocampal,-0.18390730445065623,0.028029989591450352,5.341561135272911e-11,mixedlm,65,
preproc,rh,parsopercularis,-0.02243973041460951,0.022242479409493237,0.3130378424619733,mixedlm,65,
preproc,rh,parsorbitalis,-0.006047979275725106,0.04019268889516455,0.8803901791772855,mixedlm,65,
preproc,rh,parstriangularis,0.01563172317190455,0.0355816353386735,0.6604297020233032,mixedlm,65,
preproc,rh,pericalcarine,0.11577062898985134,0.0225259920075042,2.755815962209689e-07,mixedlm,65,
preproc,rh,postcentral,0.014814754179651344,0.01344486383952141,0.270509717656526,mixedlm,65,
preproc,rh,posteriorcingulate,-0.0065502717616334446,0.013403888240296757,0.6250651139231038,mixedlm,65,
preproc,rh,precentral,-0.03465690674123023,0.02075414697917502,0.09494337714090975,mixedlm,65,
preproc,rh,precuneus,-0.031871016451911094,0.01258531914282395,0.011328585221307018,mixedlm,65,
preproc,rh,rostralanteriorcingulate,-0.142102447656928,0.04951661608486755,0.004107403453836464,mixedlm,65,
preproc,rh,rostralmiddlefrontal,0.07672243273031268,0.03414259894419339,0.02463251665301297,mixedlm,65,
preproc,rh,superiorfrontal,-0.017487083415527176,0.017001988446571532,0.3036998056149576,mixedlm,65,
preproc,rh,superiorparietal,0.014162375778718237,0.013402834828772244,0.29066214280020886,mixedlm,65,
preproc,rh,superiortemporal,-0.14597046666362826,0.030052562215376246,1.1907409588275861e-06,mixedlm,65,
preproc,rh,supramarginal,-0.05739120882202298,0.02047470596005201,0.0050625007742752985,mixedlm,65,
preproc,rh,temporalpole,-0.3305260886280028,,,mixedlm,65,
preproc,rh,transversetemporal,-0.034154765332991104,0.0273264216034405,0.21134315243745405,mixedlm,65,
jdac,lh,bankssts,-0.14770057214178042,0.026883132428100434,3.925462208099761e-08,mixedlm,66,
jdac,lh,caudalanteriorcingulate,-0.04290622367461776,0.036270634007899274,0.23683030610781286,mixedlm,66,
jdac,lh,caudalmiddlefrontal,-0.004164359433685942,0.02602632629622027,0.8728766181328607,mixedlm,66,
jdac,lh,cuneus,0.10848470276511316,0.018456386696408193,4.155163734940011e-09,mixedlm,66,
jdac,lh,entorhinal,-0.28551209675784506,0.09557460063152722,0.002814332279171991,mixedlm,66,
jdac,lh,frontalpole,0.1228074768042061,0.07674150596161418,0.10953769625594793,mixedlm,66,
jdac,lh,fusiform,-0.0653203389612591,0.01944414596259577,0.0007811664046928856,mixedlm,66,
jdac,lh,inferiorparietal,-0.01949181783639646,0.028403641222438988,0.4925594895327289,mixedlm,66,
jdac,lh,inferiortemporal,-0.1410767208935175,0.029117392962058276,1.2654704250440122e-06,mixedlm,66,
jdac,lh,insula,-0.22267378261535156,0.0402991677928074,3.285146332423228e-08,mixedlm,66,
jdac,lh,isthmuscingulate,0.030902046238587597,0.027633163397481366,0.26344074702291875,mixedlm,66,
jdac,lh,lateraloccipital,0.031283983348883854,0.027726170860763927,0.2591849485282184,mixedlm,66,
jdac,lh,lateralorbitofrontal,0.0046538406902473985,0.029791568794813712,0.8758648560713933,mixedlm,66,
jdac,lh,lingual,0.15838105686267745,0.023585833070648005,1.8794662187686606e-11,mixedlm,66,
jdac,lh,medialorbitofrontal,0.030849756629651115,0.024981468143305114,0.2168656133838467,mixedlm,66,
jdac,lh,middletemporal,-0.17903122719003406,0.029780860894620932,1.8367815866514715e-09,mixedlm,66,
jdac,lh,paracentral,0.05006347136422741,0.02490446369903405,0.04440782311368823,mixedlm,66,
jdac,lh,parahippocampal,-0.16237961870120915,0.03549189621758136,4.759513016622949e-06,mixedlm,66,
jdac,lh,parsopercularis,-0.055234446419559706,0.02402474112713682,0.021501236872862022,mixedlm,66,
jdac,lh,parsorbitalis,0.0473173712716646,0.03433891751047859,0.16821818752029716,mixedlm,66,
jdac,lh,parstriangularis,0.06156190104872155,0.026105139518110023,0.018362353988906555,mixedlm,66,
jdac,lh,pericalcarine,0.2069484902280856,0.028704496385379644,5.610853456934021e-13,mixedlm,66,
jdac,lh,postcentral,0.01608328290265559,0.01934258208123321,0.40569339144835537,mixedlm,66,
jdac,lh,posteriorcingulate,0.03660584554231069,0.026635418255507522,0.16933935968943992,mixedlm,66,
jdac,lh,precentral,-0.04140364117464798,0.022539873838639007,0.0662236968732086,mixedlm,66,
jdac,lh,precuneus,0.04296250010489628,0.01667302176397215,0.009972901473514564,mixedlm,66,
jdac,lh,rostralanteriorcingulate,-0.20822713208062116,0.03932449227997184,1.1895108301128644e-07,mixedlm,66,
jdac,lh,rostralmiddlefrontal,0.09892816431318734,0.03161445629139264,0.0017527903901302664,mixedlm,66,
jdac,lh,superiorfrontal,-0.059168375502134385,0.026021893990479217,0.02297849289119201,mixedlm,66,
jdac,lh,superiorparietal,0.04976716476318365,0.021131911955827358,0.01851913918841322,mixedlm,66,
jdac,lh,superiortemporal,-0.15037790457525285,0.031473841146357165,1.77162324672125e-06,mixedlm,66,
jdac,lh,supramarginal,-0.05290523904718183,0.022549289499886948,0.018965710685335212,mixedlm,66,
