hemi,region,delta_pente_jdac,p_inter,p_fdr
lh,precuneus,0.0646,0.0005,0.0143
rh,lingual,0.0796,0.0005,0.0143
rh,pericalcarine,0.1044,0.0006,0.0143
rh,precuneus,0.063,0.0009,0.0155
lh,lingual,0.0724,0.0013,0.0182
lh,pericalcarine,0.1007,0.0017,0.0188
rh,supramarginal,0.0781,0.0023,0.0224
rh,superiorparietal,0.0575,0.0031,0.0262
lh,cuneus,0.06,0.0035,0.0268
rh,precentral,0.0764,0.0046,0.0307
lh,paracentral,0.0694,0.005,0.0307
lh,precentral,0.0709,0.0085,0.0482
lh,parsorbitalis,0.1053,0.0148,0.0776
lh,parsopercularis,0.0578,0.0192,0.0935
rh,caudalmiddlefrontal,0.0565,0.0226,0.0985
lh,medialorbitofrontal,0.0799,0.0232,0.0985
lh,rostralmiddlefrontal,0.0873,0.0288,0.1153
lh,lateralorbitofrontal,0.076,0.0397,0.1499
lh,superiorparietal,0.0464,0.0463,0.1658
rh,cuneus,0.0524,0.0573,0.1829
lh,superiortemporal,0.0642,0.0577,0.1829
rh,bankssts,0.075,0.0592,0.1829
rh,paracentral,0.0411,0.0804,0.2377
rh,parstriangularis,0.0828,0.0923,0.26
lh,postcentral,0.0382,0.0956,0.26
lh,supramarginal,0.0378,0.1026,0.2684
rh,parsopercularis,0.0544,0.1089,0.2743
rh,rostralmiddlefrontal,0.0679,0.1204,0.2894
rh,postcentral,0.0299,0.1234,0.2894
lh,caudalmiddlefrontal,0.0394,0.1549,0.3511
lh,parstriangularis,0.0426,0.1871,0.4105
rh,superiorfrontal,0.042,0.194,0.4123
lh,frontalpole,0.1251,0.2038,0.42
rh,lateralorbitofrontal,0.0476,0.2144,0.4289
rh,inferiorparietal,0.0294,0.2467,0.4793
lh,parahippocampal,0.0508,0.2637,0.4981
rh,parahippocampal,-0.036,0.2846,0.5231
lh,isthmuscingulate,0.0274,0.3005,0.5377
lh,superiorfrontal,0.0331,0.3321,0.579
rh,middletemporal,0.0369,0.3417,0.5809
lh,inferiorparietal,0.0257,0.3757,0.6006
rh,rostralanteriorcingulate,-0.0524,0.3773,0.6006
lh,fusiform,0.0216,0.3842,0.6006
rh,lateraloccipital,0.0224,0.3886,0.6006
rh,insula,-0.0349,0.4069,0.6063
rh,fusiform,-0.0227,0.4102,0.6063
lh,inferiortemporal,-0.0217,0.4532,0.6557
lh,lateraloccipital,0.019,0.4961,0.6892
rh,transversetemporal,-0.0256,0.4966,0.6892
lh,temporalpole,0.0624,0.5443,0.7286
lh,middletemporal,0.0226,0.5465,0.7286
lh,posteriorcingulate,0.0147,0.5605,0.733
rh,parsorbitalis,0.0241,0.6505,0.7894
lh,transversetemporal,0.0137,0.6529,0.7894
rh,isthmuscingulate,0.013,0.6544,0.7894
lh,bankssts,-0.0135,0.6591,0.7894
rh,caudalanteriorcingulate,0.0194,0.6652,0.7894
rh,medialorbitofrontal,0.0166,0.6733,0.7894
lh,insula,-0.016,0.6946,0.8005
lh,rostralanteriorcingulate,-0.0158,0.7355,0.8336
rh,inferiortemporal,-0.0085,0.7705,0.8589
lh,entorhinal,0.0223,0.7957,0.8727
rh,posteriorcingulate,0.0038,0.8702,0.9253
rh,frontalpole,-0.0157,0.8709,0.9253
rh,superiortemporal,0.0045,0.8958,0.9308
lh,caudalanteriorcingulate,-0.0052,0.9034,0.9308
rh,temporalpole,-0.0076,0.9419,0.956
rh,entorhinal,-0.0032,0.9706,0.9706
