condition,run,consigne,mouvement_restant_mm,erreur_verite_mm,offset_propre_mm
brut,run-02,nodding,0.256,0.256,0.000
preproc,run-02,nodding,0.252,0.264,0.088
jdac,run-02,nodding,0.307,0.350,0.230
jdac_antiartonly,run-02,nodding,0.328,0.298,0.193
jdac_nodenoise,run-02,nodding,0.323,0.320,0.255
brut,run-03,shaking,0.315,0.315,0.000
preproc,run-03,shaking,0.271,0.311,0.087
jdac,run-03,shaking,0.317,0.373,0.232
jdac_antiartonly,run-03,shaking,0.341,0.314,0.193
jdac_nodenoise,run-03,shaking,0.415,0.336,0.255
