condition,identifier,aseg_found,lh_aparc_found,rh_aparc_found,stats_dir
brut,sub-01_run-01,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-01_run-01/stats
brut,sub-01_run-02,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-01_run-02/stats
brut,sub-01_run-03,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-01_run-03/stats
brut,sub-02_run-01,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-02_run-01/stats
brut,sub-02_run-02,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-02_run-02/stats
brut,sub-02_run-03,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-02_run-03/stats
brut,sub-03_run-01,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-03_run-01/stats
brut,sub-03_run-02,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-03_run-02/stats
brut,sub-03_run-03,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-03_run-03/stats
brut,sub-04_run-01,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-04_run-01/stats
brut,sub-04_run-02,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-04_run-02/stats
brut,sub-04_run-03,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-04_run-03/stats
brut,sub-05_run-01,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-05_run-01/stats
brut,sub-05_run-02,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-05_run-02/stats
brut,sub-05_run-03,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-05_run-03/stats
brut,sub-06_run-01,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-06_run-01/stats
brut,sub-06_run-02,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-06_run-02/stats
brut,sub-06_run-03,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-06_run-03/stats
brut,sub-07_run-01,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-07_run-01/stats
brut,sub-07_run-02,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-07_run-02/stats
brut,sub-07_run-03,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-07_run-03/stats
brut,sub-08_run-01,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-08_run-01/stats
brut,sub-08_run-02,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-08_run-02/stats
brut,sub-08_run-03,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-08_run-03/stats
brut,sub-09_run-01,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-09_run-01/stats
brut,sub-09_run-02,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-09_run-02/stats
brut,sub-09_run-03,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-09_run-03/stats
brut,sub-10_run-01,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-10_run-01/stats
brut,sub-10_run-02,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-10_run-02/stats
brut,sub-10_run-03,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-10_run-03/stats
brut,sub-11_run-01,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-11_run-01/stats
brut,sub-11_run-02,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-11_run-02/stats
brut,sub-11_run-03,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-11_run-03/stats
brut,sub-12_run-01,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-12_run-01/stats
brut,sub-12_run-02,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-12_run-02/stats
brut,sub-12_run-03,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-12_run-03/stats
brut,sub-13_run-01,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-13_run-01/stats
brut,sub-13_run-02,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-13_run-02/stats
brut,sub-13_run-03,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-13_run-03/stats
brut,sub-14_run-01,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-14_run-01/stats
brut,sub-14_run-02,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-14_run-02/stats
brut,sub-14_run-03,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-14_run-03/stats
brut,sub-15_run-01,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-15_run-01/stats
brut,sub-15_run-02,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-15_run-02/stats
brut,sub-15_run-03,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-15_run-03/stats
brut,sub-16_run-01,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-16_run-01/stats
brut,sub-16_run-02,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-16_run-02/stats
brut,sub-16_run-03,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-16_run-03/stats
brut,sub-17_run-01,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-17_run-01/stats
brut,sub-17_run-02,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-17_run-02/stats
brut,sub-17_run-03,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-17_run-03/stats
brut,sub-18_run-01,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-18_run-01/stats
brut,sub-18_run-02,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-18_run-02/stats
brut,sub-18_run-03,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-18_run-03/stats
brut,sub-19_run-01,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-19_run-01/stats
brut,sub-19_run-02,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-19_run-02/stats
brut,sub-19_run-03,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-19_run-03/stats
brut,sub-20_run-01,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-20_run-01/stats
brut,sub-20_run-02,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-20_run-02/stats
brut,sub-20_run-03,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-20_run-03/stats
brut,sub-21_run-01,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-21_run-01/stats
