method,run,motion_label,n_subjects,median_legacy_mean_mae_mm,mean_legacy_mean_mae_mm,ci95_low,ci95_high,median_within_method_mean_mae_mm,median_clean_offset_mean_mae_mm
brut,run-02,nodding,22,0.2408455882352941,0.25565641711229947,0.21998529411764706,0.2922426470588234,0.2408455882352941,0.0
brut,run-03,shaking,21,0.3071911764705882,0.31454201680672267,0.2656617647058823,0.3393382352941176,0.3071911764705882,0.0
jdac,run-02,nodding,22,0.3588602941176471,0.34999866310160427,0.32056617647058816,0.37432352941176467,0.2934558823529412,0.21547794117647057
jdac,run-03,shaking,20,0.3591323529411764,0.37280588235294115,0.3364558823529412,0.4057694852941176,0.3135661764705882,0.21547794117647057
jdac_antiartonly,run-02,nodding,22,0.2797132352941176,0.29792981283422465,0.2436323529411764,0.3153602941176471,0.2896911764705882,0.17786029411764703
jdac_antiartonly,run-03,shaking,22,0.30700000000000005,0.3138522727272727,0.2696470588235294,0.3408781249999999,0.34603676470588235,0.17786029411764703
jdac_nodenoise,run-02,nodding,22,0.2832426470588235,0.3203783422459892,0.255014705882353,0.3593823529411765,0.2871764705882353,0.2336323529411764
jdac_nodenoise,run-03,shaking,22,0.3096470588235294,0.33618315508021385,0.2860588235294117,0.32923529411764707,0.4356617647058823,0.2336323529411764
preproc,run-02,nodding,22,0.2465661764705882,0.26383288770053465,0.2325294117647058,0.2834117647058823,0.2364117647058824,0.0863823529411764
preproc,run-03,shaking,21,0.2976176470588235,0.3108459383753501,0.2624999999999999,0.3317205882352941,0.2589044117647059,0.0847573529411764
