sub,run,ssim_before,ssim_after,psnr_before,psnr_after
sub-01,run-02,0.9804,0.9795,32.582,32.987
sub-01,run-03,0.9545,0.9536,26.994,27.403
sub-02,run-02,0.934,0.9354,25.646,26.211
sub-02,run-03,0.9463,0.9447,25.177,25.588
sub-03,run-02,0.94,0.9432,27.461,28.172
sub-03,run-03,0.9336,0.9245,20.686,20.522
sub-04,run-02,0.968,0.9699,29.78,30.513
sub-04,run-03,0.9212,0.9236,23.856,24.308
sub-05,run-02,0.9598,0.9631,29.452,30.342
sub-05,run-03,0.9094,0.9119,24.076,24.74
sub-06,run-02,0.9774,0.9775,32.406,32.722
sub-06,run-03,0.9518,0.9504,26.332,26.64
sub-07,run-02,0.964,0.9648,28.353,28.851
sub-07,run-03,0.9469,0.949,26.181,26.726
sub-08,run-02,0.95,0.9518,26.012,26.551
sub-08,run-03,0.9389,0.9363,20.331,20.23
sub-09,run-02,0.9296,0.9342,26.052,26.792
sub-09,run-03,0.9537,0.9531,26.613,27.025
sub-10,run-02,0.9694,0.971,30.039,30.689
sub-10,run-03,0.9165,0.9132,19.005,18.756
sub-11,run-02,0.9808,0.9812,33.755,34.142
sub-11,run-03,0.9224,0.9186,18.986,18.819
sub-12,run-02,0.9524,0.9523,26.121,26.425
sub-12,run-03,0.9325,0.9326,24.155,24.636
sub-13,run-02,0.9552,0.9552,25.706,26.06
sub-13,run-03,0.9491,0.9505,25.575,26.043
sub-14,run-02,0.9661,0.9654,27.924,28.295
sub-14,run-03,0.9511,0.9522,27.116,27.739
sub-15,run-02,0.9678,0.9686,28.361,28.906
sub-15,run-03,0.9322,0.9318,23.108,23.319
sub-16,run-02,0.9684,0.9707,30.511,31.283
sub-16,run-03,0.9556,0.9559,27.683,28.282
sub-17,run-02,0.9624,0.9622,28.669,29.017
sub-17,run-03,0.9577,0.9568,27.479,27.826
sub-18,run-02,0.9749,0.9747,30.494,30.98
sub-18,run-03,0.9623,0.9612,27.612,28.098
sub-19,run-02,0.9722,0.9733,29.829,30.408
sub-19,run-03,0.9628,0.9621,26.94,27.269
sub-20,run-02,0.9732,0.9741,30.518,31.061
sub-20,run-03,0.952,0.9523,26.578,27.031
sub-21,run-02,0.965,0.9626,28.369,28.478
sub-21,run-03,0.9494,0.9476,26.62,26.959
sub-22,run-02,0.9226,0.9228,24.314,24.717
sub-22,run-03,0.9439,0.9432,25.547,25.951
