sub,run,ssim_before,ssim_after,psnr_before,psnr_after
sub-01,run-02,0.9744,0.9654,36.719,35.34
sub-01,run-03,0.9366,0.9296,32.517,31.749
sub-02,run-02,0.9102,0.9043,30.477,29.719
sub-02,run-03,0.9247,0.9141,31.172,30.166
sub-03,run-02,0.9253,0.9246,32.225,31.706
sub-03,run-03,0.9272,0.9104,31.419,30.396
sub-04,run-02,0.9522,0.948,34.037,33.451
sub-04,run-03,0.905,0.9046,30.716,30.503
sub-05,run-02,0.9411,0.9412,33.4,33.204
sub-05,run-03,0.8996,0.8965,30.735,30.117
sub-06,run-02,0.9667,0.9577,35.423,34.112
sub-06,run-03,0.9393,0.9303,32.317,31.529
sub-07,run-02,0.9513,0.9479,33.881,33.345
sub-07,run-03,0.9282,0.9305,32.108,31.996
sub-08,run-02,0.9253,0.9222,30.686,30.014
sub-08,run-03,0.9248,0.9167,29.862,29.194
sub-09,run-02,0.9117,0.9075,31.357,30.66
sub-09,run-03,0.9429,0.9305,33.278,32.127
sub-10,run-02,0.9588,0.9544,34.184,33.587
sub-10,run-03,0.9032,0.8929,29.385,28.641
sub-11,run-02,0.9705,0.9663,36.589,35.795
sub-11,run-03,0.9221,0.9099,30.645,29.936
sub-12,run-02,0.9342,0.9252,32.784,31.935
sub-12,run-03,0.9169,0.911,31.617,30.979
sub-13,run-02,0.9413,0.9359,33.08,32.455
sub-13,run-03,0.9317,0.9293,32.4,32.012
sub-14,run-02,0.9542,0.9459,33.236,32.239
sub-14,run-03,0.9245,0.9217,31.04,30.389
sub-15,run-02,0.9538,0.9508,33.974,33.549
sub-15,run-03,0.9216,0.9179,31.188,30.901
sub-16,run-02,0.946,0.9455,33.073,32.594
sub-16,run-03,0.9323,0.9265,31.791,31.062
sub-17,run-02,0.9521,0.9421,34.263,33.141
sub-17,run-03,0.941,0.9312,33.193,32.231
sub-18,run-02,0.969,0.9614,36.105,35.028
sub-18,run-03,0.9493,0.9418,33.984,33.102
sub-19,run-02,0.9576,0.9545,33.824,33.341
sub-19,run-03,0.9474,0.9378,32.715,31.721
sub-20,run-02,0.9616,0.9582,34.897,34.319
sub-20,run-03,0.9411,0.9382,32.604,32.193
sub-21,run-02,0.9549,0.9423,34.327,33.065
sub-21,run-03,0.9386,0.9271,32.845,31.787
sub-22,run-02,0.9107,0.9013,31.51,30.763
sub-22,run-03,0.935,0.9226,32.911,31.945
